ID,Pregunta,A,B,C,D,Respuesta,Tipo
1,¿Cuántas áreas fundamentales tiene el plan de estudios del programa de Diseño Gráfico?,N/A,N/A,N/A,N/A,Tres,Abierta
2,¿Cuál es una asignatura obligatoria en el primer semestre para el refuerzo digital?,N/A,N/A,N/A,N/A,Bases de informática,Abierta
3,¿Qué software se utiliza en la asignatura de Grafica Digital II?,N/A,N/A,N/A,N/A,Photoshop,Abierta
4,¿Qué ciclo incluye la asignatura de Proyectos Interdisciplinarios?,N/A,N/A,N/A,N/A,Ciclo de énfasis,Abierta
5,¿Qué competencia se desarrolla en la asignatura de Tipografía?,N/A,N/A,N/A,N/A,Diagramación de textos,Abierta
6,¿Qué valor es fundamental en el perfil del egresado de Diseño Gráfico?,N/A,N/A,N/A,N/A,Innovación,Abierta
7,¿Cuál es el objetivo principal del reglamento estudiantil?,N/A,N/A,N/A,N/A,Regular el proceso académico,Abierta
8,¿Qué asignatura enseña la creación de imágenes en movimiento?,N/A,N/A,N/A,N/A,Animación Digital,Abierta
9,¿Qué ciclo abarca la asignatura de Historia del Diseño Gráfico?,N/A,N/A,N/A,N/A,Ciclo de fundamentación,Abierta
10,¿Qué área trabaja en conjunto con el área de Proyectual?,N/A,N/A,N/A,N/A,Todas,Abierta
11,¿Cuál es el software principal utilizado en Diseño Editorial?,N/A,N/A,N/A,N/A,InDesign,Abierta
12,¿Qué asignatura del programa incluye el uso de modelado 3D?,N/A,N/A,N/A,N/A,Gráfica Digital 3D,Abierta
13,¿Qué se evalúa en los trabajos finales de Proyectos Interdisciplinarios?,N/A,N/A,N/A,N/A,Creatividad,Abierta
14,¿Qué tipo de proyectos se desarrollan en la asignatura de Fotografía?,N/A,N/A,N/A,N/A,Proyectos fotográficos,Abierta
15,¿Qué asignatura se imparte en el ciclo de creación?,N/A,N/A,N/A,N/A,Taller de Ilustración,Abierta
16,¿Cuál es la misión principal del programa de Diseño Gráfico?,N/A,N/A,N/A,N/A,Formar profesionales críticos y creativos,Abierta
17,¿Qué herramienta es clave en la asignatura de Ilustración Digital?,N/A,N/A,N/A,N/A,Illustrator,Abierta
18,¿Qué valor destaca en el perfil del egresado del programa?,N/A,N/A,N/A,N/A,Ética,Abierta
19,¿En qué ciclo se imparte la asignatura de Pasantía?,N/A,N/A,N/A,N/A,Ciclo de creación,Abierta
20,¿Qué área está relacionada con el diseño de interfaces digitales?,N/A,N/A,N/A,N/A,Expresión,Abierta
21,¿Qué ciclo es obligatorio para todos los estudiantes?,N/A,N/A,N/A,N/A,Todos,Abierta
22,¿Software Open Source para animación 3D y 2D?,N/A,N/A,N/A,N/A,Blender,Abierta
23,¿Qué competencia se trabaja en la asignaturas de Diseño VI y VII?,N/A,N/A,N/A,N/A,Gestión de proyectos,Abierta
24,¿Qué criterio se evalúa en la asignatura de Fotografía?,N/A,N/A,N/A,N/A,Composición,Abierta
25,¿Qué tipo de proyectos se desarrollan en la asignatura de Stop Motion?,N/A,N/A,N/A,N/A,Audiovisuales,Abierta
26,¿Qué significa FAVA?,N/A,N/A,N/A,N/A,Facultad de Artes Visuales y Aplicadas,Abierta
27,¿Qué valor se fomenta en el perfil del egresado del programa?,N/A,N/A,N/A,N/A,Inclusividad,Abierta
28,¿Qué función tiene el Comité de Aseguramiento de la Calidad en el programa?,N/A,N/A,N/A,N/A,Evaluar la calidad académica,Abierta
29,¿Cuántos niveles de inglés debes ver?,N/A,N/A,N/A,N/A,6,Abierta
30,¿Qué software se enseña en la asignatura de Gráfica Digital V?,N/A,N/A,N/A,N/A,After Effects,Abierta
31,¿Qué competencia se desarrolla en la asignatura de Diseño IV Editorial?,N/A,N/A,N/A,N/A,Maquetación,Abierta
32,¿Qué tipo de proyectos se espera en la asignatura de Ilustración?,N/A,N/A,N/A,N/A,Póster,Abierta
33,¿Cuantos créditos tiene el programa de diseño?,N/A,N/A,N/A,N/A,160,Abierta
34,¿Cómo se llama el espacio entre la bibloteca, casa del Rio y el edificio del Conservatorio?,N/A,N/A,N/A,N/A,El cruce,Abierta
35,¿Qué lugar tiene impresoras 3D y conrtadora laser?,N/A,N/A,N/A,N/A,Sala de prototipado LAT,Abierta
36,¿Qué asignatura del ciclo básico está relacionada con la historia del diseño?,N/A,N/A,N/A,N/A,Historia del Diseño,Abierta
37,¿Qué valor promueve el perfil del egresado en su desarrollo profesional relacionado con la comunidad?,N/A,N/A,N/A,N/A,Responsabilidad social,Abierta
38,¿Qué asignatura enseña el manejo de color y luz?,N/A,N/A,N/A,N/A,Fotografía I,Abierta
39,¿Qué siglas tiene nuestra Facultad?,N/A,N/A,N/A,N/A,FAVA,Abierta
40,,N/A,N/A,N/A,N/A,,Abierta
41,¿Cuál es proceso de revisión para ajustes que hacen los programas y la institución periódicamente?,N/A,N/A,N/A,N/A,Autoevaluación,Abierta
42,¿Cuál es la primera asignatura del Área de Expresión?,N/A,N/A,N/A,N/A,Dibujo I,Abierta
43,Su falta excesiva implica pérdida de asignatura,N/A,N/A,N/A,N/A,Asistencia,Abierta
44,¿Cantidad de evaluaciones que se realizan por asignatura al semestre?,N/A,N/A,N/A,N/A,3,Abierta
45,Compromiso social obligatorio para grado de los estudiantes,N/A,N/A,N/A,N/A,Práctica social,Abierta
46,¿Qué competencia se fomenta en la asignatura de Branding?,N/A,N/A,N/A,N/A,Estrategia de marca,Abierta
47,¿Qué criterio se evalúa en la asignatura de Taller de Ilustración?,N/A,N/A,N/A,N/A,Creatividad,Abierta
48,¿Qué software se utiliza en la asignatura de Gráfica Digital I?,N/A,N/A,N/A,N/A,Illustrator,Abierta
49,¿Qué función cumple el reglamento estudiantil?,N/A,N/A,N/A,N/A,Regular la conducta académica,Abierta
50,¿Qué valor se promueve en los Proyectos Interdisciplinarios?,N/A,N/A,N/A,N/A,Colaboración, trabajo en equipo,Abierta
51,¿Cuántos créditos académicos tiene el programa de Diseño Gráfico?,120,150,160,180,C,Múltiple
52,¿Qué software es comúnmente utilizado en Diseño Gráfico?,Word,Photoshop,Excel,PowerPoint,B,Múltiple
53,¿Cuál es el enfoque del programa de Diseño Gráfico en Bellas Artes?,Técnológico,Social,Artístico,Todas las anteriores,D,Múltiple
54,¿Cuántos semestres dura el programa de Diseño Gráfico?,8,10,6,9,B,Múltiple
55,¿Qué área no forma parte del plan de estudios?,Expresión,Ciencias,Proyectual,Humanidades,B,Múltiple
56,¿Qué herramienta es clave para el diseño de vectores?,Photoshop,Illustrator,Word,Premiere,B,Múltiple
57,¿Qué tipo de formación ofrece Bellas Artes?,Básica,Técnica,Universitaria,Secundaria,C,Múltiple
58,¿En qué se basa el aprendizaje en el programa de Diseño Gráfico?,Exámenes,Proyectos,Tareas,Conferencias,B,Múltiple
59,¿Qué caracteriza al perfil del egresado de Diseño Gráfico?,Técnico,Crítico,Pasivo,Conservador,B,Múltiple
60,¿Cuál es un componente fundamental del currículo?,Evaluación,Investigación,Deportes,Música,B,Múltiple
61,¿Cuál es la duración mínima del programa de Diseño Gráfico en Bellas Artes?,5 años,3 años,4 años,6 años,A,Múltiple
62,¿Qué título otorga el programa de Diseño grafico en Bellas Artes?,Experto en diseño,Diseñador gráfico,Profesional de diseño,Tecnólogo en diseño gráfico,B,Múltiple
63,¿Qué tipo de proyectos se desarrollan en el programa?,Comerciales,Académicos,Sociales,Relacionados con grupos de usuarios académicos, sociales y comerciales,D,Múltiple
64,¿Qué recurso bibliográfico es fundamental para los estudiantes de Diseño Gráfico?,Novelas,Revistas,Libros y artículos académicos,Tik Tok,C,Múltiple
65,¿Qué tipo de actividades ofrece bienestar universitario?,Académicas,Culturales y deportivas,Económicas,Comerciales,B,Múltiple
66,¿Qué herramienta se usa para ilustración digital?,AutoCAD,Maya,InDesign,Illustrator,D,Múltiple
67,¿Cuáles son las áreas fundamentales del programa?,Artes, Diseño, Música,Expresión, Proyectual, Humanidades,Proyectual, Música, Expresión,Ciencias, Deportes, Arte,B,Múltiple
68,¿En qué área se enfoca el trabajo final de los estudiantes?,Investigación,Creación,Expresión,Práctica,B,Múltiple
69,¿Qué tipo de proyectos se esperan en el trabajo de grado?,Escritos,Visuales,Mixtos,Orales,C,Múltiple
70,¿Qué software se usa para edición de video en Diseño Gráfico?,Photoshop,CapCut,Premiere,InDesign,C,Múltiple
71,¿Qué objetivo tiene el bienestar universitario?,Formación,Apoyo estudiantil,Becas,Solo recreación,B,Múltiple
72,¿Qué plataforma se usa para investigar tendencias en diseño gráfico?,Google,Behance,Instagram,Facebook,B,Múltiple
73,¿Cuántos años tiene Bellas Artes?,5,10,Más de 80,25,C,Múltiple
74,¿Qué es Adobe Illustrator?,Software de video,Software de vectores,Programa de texto,Programa 3D,B,Múltiple
75,¿Qué competencia destaca en el perfil del egresado de Diseño Gráfico?,Técnica,Innovación,Aislamiento,Pasividad,B,Múltiple
76,¿Qué curso NO se incluye en el plan de estudios?,Ilustración,Fotografía,Contabilidad,Narración gráfica,C,Múltiple
77,¿Qué servicio no está disponible en la biblioteca de Bellas Artes?,Préstamo físico,Acceso a revistas,Consultas online,Taller de cerámica,D,Múltiple
78,¿Qué software NO es común en el diseño gráfico?,InDesign,Photoshop,Excel,CorelDraw,C,Múltiple
79,¿Qué ciclo es parte del plan de estudios?,Ciclo profesional,Ciclo científico,Ciclo proyectual,Ciclo artístico,C,Múltiple
80,¿Qué servicio ofrece bienestar universitario?,Conferencias,Préstamo de licencias,Servicios médicos,Consultoría legal,C,Múltiple
81,¿Qué software se usa principalmente para diseño web?,Premiere,After Effects,Figma,Excel,C,Múltiple
82,¿Cuál es la misión principal del programa de Diseño Gráfico en Bellas Artes?,Formación ética,Solo técnica,Creatividad y ética,Técnica sin ética,C,Múltiple
83,¿Qué es Photoshop?,Edición 3D,Edición de video,Edición de imágenes,Edición de texto,C,Múltiple
84,¿Qué actividad organiza bienestar universitario?,Torneos deportivos,Seminarios de matemáticas,Charlas de medicina,Clases de arte,A,Múltiple
85,¿Cuál es un enfoque clave del bienestar universitario?,Calidad de vida,Trabajo social,Investigación,Creación artística,A,Múltiple
86,¿Qué perfil tiene el egresado de Diseño Gráfico?,Técnico,Conservador,Creador Crítico,Artístico,C,Múltiple
87,¿Qué herramienta NO se usa en el diseño de interfaces?,Figma,Sketch,Word,Adobe XD,C,Múltiple
88,¿Qué programa de Adobe es esencial para diseño editorial?,After Effects,InDesign,Photoshop,Premiere,B,Múltiple
89,¿Qué servicio ofrece la biblioteca?,Base de datos,Restaurantes,Talleres,Clases de deportes,A,Múltiple
90,¿Qué NO es parte del perfil del egresado de Diseño Gráfico?,Creatividad,Innovación,Pasividad,Trabajo en equipo,C,Múltiple
91,¿Qué software es más utilizado en la animación 3D?,Blender,CorelDraw,Illustrator,After Effects,A,Múltiple
92,¿Qué se evalúa en los estudiantes en Diseño Gráfico?,Pruebas orales,Proyectos,Tareas,Exámenes teóricos,B,Múltiple
93,¿Qué es el trabajo de grado en el programa de Diseño Gráfico?,Proyecto práctico,Examen final,Tesis escrita,Presentación oral,A,Múltiple
94,¿Qué tipo de recurso no ofrece la biblioteca de Bellas Artes?,Libros físicos,Libros digitales,Revistas,Becas,D,Múltiple
95,¿Qué rol tiene el egresado de Diseño Gráfico?,Artista,Científico,Comunicador visual,Comunicador social,C,Múltiple
96,¿Qué área se trabaja más en el primer semestre del programa de Diseño Gráfico?,Fotografía,Tipografía,Expresión,Modelado 3D,C,Múltiple
97,¿Qué tipo de proyecto se espera en la asignatura de ilustración?,Video,Póster,Informe escrito,Investigación,B,Múltiple
98,¿Qué herramienta no es digital?,Adobe,Canva,Pintura manual,Figma,C,Múltiple
99,¿Qué servicio de bienestar NO está disponible en Bellas Artes?,Orientación vocacional,Apoyo psicológico,Tutorías académicas,Lavandería,D,Múltiple
100,¿Qué recurso digital es clave en la investigación académica en Diseño Gráfico?,Behance,YouTube,Instagram,Google Scholar,D,Múltiple
101,¿Cuántas áreas principales tiene el plan de estudios de Diseño Gráfico?,2,3,4,5,B,Múltiple
102,¿Cuál es una asignatura del primer semestre en el programa de Diseño Gráfico?,Ilustración,Fotografía,Fundamentos de la propiedad intelectual,Tipografía,C,Múltiple
103,¿Qué ciclo académico incluye la asignatura de Proyectos Interdisciplinarios?,Ciclo de creación,Ciclo básico,Ciclo de énfasis,Ciclo de producción,C,Múltiple
104,¿Qué software se enseña en la asignatura de Gráfica Digital II?,InDesign,Photoshop,AutoCAD,Sketch,B,Múltiple
105,¿Cuántos créditos tiene una asignatura Diseño II?,2,3,4,5,C,Múltiple
106,¿Qué asignatura está relacionada con la creación de imágenes en movimiento?,Narración audiovisual,Diseño Editorial,Tipografía,Expresión gráfica,A,Múltiple
107,¿En qué ciclo se imparte la asignatura de Historia del Diseño Gráfico?,Ciclo de fundamentación,Ciclo de énfasis,Ciclo de creación,Ciclo de producción,A,Múltiple
108,¿Qué competencia se desarrolla en la asignatura de Tipografía?,Manejo de color,Composición,Diagramación de textos,Creación de ilustraciones,C,Múltiple
109,¿Cuál es una función principal del Consejo Académico en Bellas Artes?,Supervisión financiera,Elaboración de exámenes,Planificación curricular,Organización de eventos,C,Múltiple
110,¿Qué aspecto evalúa el Comité de Aseguramiento de la Calidad?,Calidad docente,Redacción de ensayos,Asistencia a clases,Participación en eventos,A,Múltiple
111,¿Cuál es el objetivo del reglamento estudiantil en Bellas Artes?,Fomentar la disciplina,Regular la conducta,Guiar el proceso académico,Aplicar sanciones,C,Múltiple
112,¿Qué institución otorga el título de Diseñador Gráfico en Bellas Artes?,Universidad del Valle,Instituto Departamental de Bellas Artes,Universidad Nacional,Pontificia Bolivariana,B,Múltiple
113,¿Qué valor fundamental se destaca en el perfil del egresado?,Innovación,Pasividad,Aislamiento,Desinterés,A,Múltiple
114,¿Cuál de las siguientes es una asignatura obligatoria en el plan de estudios?,Publicidad,Fotografía I,Branding,Fotografía Digital,B,Múltiple
115,¿Qué característica se resalta en el perfil de egreso del estudiante de Diseño Gráfico?,Conservadurismo,Inclusividad,Desconexión,Individualismo,B,Múltiple
116,¿Qué estrategia pedagógica es más utilizada en el programa de Diseño Gráfico?,Gamificación,Aprendizaje basado en proyectos,Exámenes tradicionales,Clases magistrales,B,Múltiple
117,¿Cuál es una asignatura electiva del ciclo avanzado?,Talleres de énfasis,Tipografía Avanzada,Fotografía Digital,Arte Contemporáneo,A,Múltiple
118,¿Qué criterio se evalúa en los trabajos finales de la asignatura Proyectos Interdisciplinarios?,Creatividad,Asistencia,Puntualidad,Comunicación escrita,A,Múltiple
119,¿Cuál es el requisito para inscribirse en la asignatura de Diseño IV Editorial?,Haber cursado Historia del Diseño,Contar con un portafolio,Aprobar Diseño III,Tener créditos suficientes,C,Múltiple
120,¿Qué asignatura desarrolla competencias en el manejo del color?,Ilustración,Historia del Arte,Teoría del color y la forma,Diseño Editorial,C,Múltiple
121,¿Qué software no se utiliza comúnmente en las asignaturas de diseño gráfico?,CorelDraw,Microsoft Word,Adobe Photoshop,InDesign,B,Múltiple
122,¿Qué competencia se desarrolla en la asignatura de Gráfica Digital V?,Creación de interfaces,Motion graphícs y Edición de videos,Programación,Investigación visual,B,Múltiple
123,¿Qué ciclo incluye la pasantía?,Ciclo de creación-producción,Ciclo básico,Ciclo de énfasis,Ciclo introductorio,A,Múltiple
124,¿En qué asignatura se trabaja con software de modelado 3D?,Proyectos 3D,Electiva Gráfica Digital 3D,Ilustración,Diseño Editorial,B,Múltiple
125,¿Qué área fundamental abarca la asignatura de Teoría del Diseño I y II?,Humanidades,Proyectual,Expresión,Ciencias Exactas,A,Múltiple
126,¿Qué función tiene el Comité de Acreditación del programa de Diseño Gráfico?,Promover eventos,Evaluar la calidad,Coordinar pasantías,Gestionar recursos,B,Múltiple
127,¿Qué asignatura trabaja en conjunto con el área de Humanidades?,Expresión Básica,Ilustración,Ética y Ciudadanía,Tipografía,C,Múltiple
128,¿Qué metodología se utiliza en la asignatura de Fundamentaciones del diseño?,Exámenes orales,Lecturas, foros y debates,Pruebas escritas,Ensayos individuales,B,Múltiple
129,¿Cuál es el ciclo de escogencia en el programa de Diseño Gráfico?,Ciclo básico,Ciclo de creación,Ciclo de énfasis,Ciclo de producción,C,Múltiple
130,¿Qué valor se fomenta en el perfil de egreso?,Innovación,Competitividad,Desconexión,Individualismo,A,Múltiple
131,¿En qué ciclo se desarrolla la asignatura de Taller de Ilustración?,Ciclo de creación,Ciclo de producción,Ciclo de fundamentación,Ciclo de énfasis,D,Múltiple
132,¿Qué criterio es evaluado en los proyectos finales del programa de Diseño Gráfico?,Puntualidad,Creatividad,Disciplina,Asistencia,B,Múltiple
133,¿Qué software se usa en las asignaturas de Fotografía?,InDesign,Photoshop,Excel,Word,B,Múltiple
134,¿Qué asignatura se ofrece en el ciclo de énfasis?,Fotografía Digital,Historia del Diseño,Diseño VI de Identidad Visual,Proyectos Interdisciplinarios,C,Múltiple
135,¿Qué tipo de proyectos se desarrollan en la asignatura de Narración gráfica?,Proyectos comerciales,Proyectos gráficos,Proyectos Narrativos y visuales,Proyectos escritos,C,Múltiple
136,¿Cuál es un objetivo del reglamento estudiantil?,Promover castigos,Resaltar a los profesores,Establecer normas de conducta,Guiar el proceso académico,D,Múltiple
